F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0       1       0  0  80   0 - 42061 -      ?        00:08:37 systemd
1 S     0       2       0  0  80   0 -     0 -      ?        00:00:01 kthreadd
1 I     0       3       2  0  60 -20 -     0 -      ?        00:00:00 rcu_gp
1 I     0       4       2  0  60 -20 -     0 -      ?        00:00:00 rcu_par_gp
1 I     0       5       2  0  60 -20 -     0 -      ?        00:00:00 netns
1 I     0       7       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H-events_highpri
1 I     0       9       2  0  60 -20 -     0 -      ?        00:00:10 kworker/0:1H-kblockd
1 I     0      10       2  0  60 -20 -     0 -      ?        00:00:00 mm_percpu_wq
1 S     0      11       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_rude_
1 S     0      12       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_trace
1 S     0      13       2  0  80   0 -     0 -      ?        00:00:07 ksoftirqd/0
1 I     0      14       2  0  80   0 -     0 -      ?        00:40:53 rcu_sched
1 S     0      15       2  0 -40   - -     0 -      ?        00:00:17 migration/0
1 S     0      16       2  0   9   - -     0 -      ?        00:00:00 idle_inject/0
1 S     0      18       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/0
5 S     0      19       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/1
1 S     0      20       2  0   9   - -     0 -      ?        00:00:00 idle_inject/1
1 S     0      21       2  0 -40   - -     0 -      ?        00:00:18 migration/1
1 S     0      22       2  0  80   0 -     0 -      ?        00:00:09 ksoftirqd/1
1 I     0      24       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:0H-events_highpri
5 S     0      25       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/2
1 S     0      26       2  0   9   - -     0 -      ?        00:00:00 idle_inject/2
1 S     0      27       2  0 -40   - -     0 -      ?        00:00:18 migration/2
1 S     0      28       2  0  80   0 -     0 -      ?        00:00:06 ksoftirqd/2
1 I     0      30       2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:0H-events_highpri
5 S     0      31       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/3
1 S     0      32       2  0   9   - -     0 -      ?        00:00:00 idle_inject/3
1 S     0      33       2  0 -40   - -     0 -      ?        00:00:20 migration/3
1 S     0      34       2  0  80   0 -     0 -      ?        00:18:44 ksoftirqd/3
1 I     0      36       2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:0H-events_highpri
5 S     0      37       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/4
1 S     0      38       2  0   9   - -     0 -      ?        00:00:00 idle_inject/4
1 S     0      39       2  0 -40   - -     0 -      ?        00:00:18 migration/4
1 S     0      40       2  0  80   0 -     0 -      ?        00:00:03 ksoftirqd/4
1 I     0      42       2  0  60 -20 -     0 -      ?        00:00:00 kworker/4:0H-events_highpri
5 S     0      43       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/5
1 S     0      44       2  0   9   - -     0 -      ?        00:00:00 idle_inject/5
1 S     0      45       2  0 -40   - -     0 -      ?        00:00:18 migration/5
1 S     0      46       2  0  80   0 -     0 -      ?        00:00:09 ksoftirqd/5
1 I     0      48       2  0  60 -20 -     0 -      ?        00:00:00 kworker/5:0H-events_highpri
5 S     0      49       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/6
1 S     0      50       2  0   9   - -     0 -      ?        00:00:00 idle_inject/6
1 S     0      51       2  0 -40   - -     0 -      ?        00:00:18 migration/6
1 S     0      52       2  0  80   0 -     0 -      ?        00:00:11 ksoftirqd/6
1 I     0      54       2  0  60 -20 -     0 -      ?        00:00:00 kworker/6:0H-events_highpri
5 S     0      55       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/7
1 S     0      56       2  0   9   - -     0 -      ?        00:00:00 idle_inject/7
1 S     0      57       2  0 -40   - -     0 -      ?        00:00:18 migration/7
1 S     0      58       2  0  80   0 -     0 -      ?        00:00:18 ksoftirqd/7
1 I     0      60       2  0  60 -20 -     0 -      ?        00:00:00 kworker/7:0H-events_highpri
5 S     0      61       2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 I     0      62       2  0  60 -20 -     0 -      ?        00:00:00 inet_frag_wq
1 S     0      63       2  0  80   0 -     0 -      ?        00:00:00 kauditd
1 S     0      64       2  0  80   0 -     0 -      ?        00:00:04 khungtaskd
1 S     0      65       2  0  80   0 -     0 -      ?        00:00:00 oom_reaper
1 I     0      66       2  0  60 -20 -     0 -      ?        00:00:00 writeback
1 S     0      67       2  0  80   0 -     0 -      ?        00:03:14 kcompactd0
1 S     0      68       2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0      69       2  0  99  19 -     0 -      ?        00:00:43 khugepaged
1 I     0     116       2  0  60 -20 -     0 -      ?        00:00:00 kintegrityd
1 I     0     117       2  0  60 -20 -     0 -      ?        00:00:00 kblockd
1 I     0     118       2  0  60 -20 -     0 -      ?        00:00:00 blkcg_punt_bio
1 I     0     119       2  0  60 -20 -     0 -      ?        00:00:00 tpm_dev_wq
1 I     0     120       2  0  60 -20 -     0 -      ?        00:00:00 ata_sff
1 I     0     121       2  0  60 -20 -     0 -      ?        00:00:00 md
1 I     0     122       2  0  60 -20 -     0 -      ?        00:00:00 edac-poller
1 I     0     123       2  0  60 -20 -     0 -      ?        00:00:00 devfreq_wq
1 S     0     124       2  0   9   - -     0 -      ?        00:00:00 watchdogd
1 S     0     129       2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0     130       2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthrea
1 I     0     132       2  0  60 -20 -     0 -      ?        00:00:00 kthrotld
